infP,infN,infC,infS,MLSS,MLVSS,VSS/TSS,ana-time,ano-time,pH,SR,P class
12.5,47.14,81.53,163.07,6.7,4.4,0.66,7.9,9.6,7.5,19.225674,2
10.36,22.8,76.8,151.9,7,4.09,0.58,12,24,7.4,65.054375,0
10.06,40.13,86.95,260.84,7.7,4.6,0.6,6,3,7.5,30.39644,2
11.42,47.5,75,163,9.6,6.91,0.72,2,1.5,7.4,44.821068,1
9.04,18.7,67.4,135.8,8.67,5.94,0.69,12,24,7.4,18.530403,2
9.23,50.76,74.28,178.45,12.93,3.64,0.28,6,2,8,83.66581,1
8.82,18.7,67.4,135.8,7.88,5.21,0.66,12,24,7.4,26.8919,2
8.12,35.4,75.4,150.79,6.7,4.4,0.66,8.9,13.2,7.5,49.8923,1
10.33,30.05,67.93,199.06,7.98,3.12,0.39,6,2,8,81.25148,1
12.98,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,21.038794,0
11.15,40.6,74.65,193.65,18.83,3.92,0.21,6,2,8,83.71325,2
10.77,50,84,151.99,9.6,6.91,0.72,3,0.5,7.6,14.678042,0
9.64,31.05,70.55,193.96,4.87,2.35,0.48,6,2,8,69.61687,1
10.77,50,84,151.99,9.6,6.91,0.72,3,0.3,7.6,14.678042,0
9.51,29.43,70.92,189.4,4.9,2.18,0.44,6,2,8,62.70737,0
11.79,18.7,67.4,135.8,8.67,6.76,0.78,12,24,7.4,24.209509,0
8.36,22.8,76.8,151.9,7.7,4.24,0.55,12,24,7.4,59.137238,2
10.55,11.21,69.03,197.4,4.89,2.67,0.55,6,2,8,63.59869,0
14.95,45,164,160.78,7.8,6.65,0.85,5,6,7.5,2.080796,0
11.1,39.48,77.27,182.49,19.11,3.44,0.18,6,2,8,72.77875,2
10.52,55.25,85,166.29,9.6,6.91,0.72,2,0.3,7.6,12.926985,2
11.29,18.7,67.4,135.8,7.97,4.79,0.6,12,24,7.4,24.558872,2
10.96,50,85,170,7.5,5.3,0.71,3,3,7.6,14.890629,2
12.57,0,70.32,166.17,6.15,3.07,0.5,6,2,8,34.348503,0
18.1,45,81,162,4.35,3.27,0.75,5,6,7.5,4.4822474,0
10.28,31.42,70.92,197.84,8.93,3.39,0.38,6,2,8,79.43149,0
10.22,47.5,75,183,9.6,6.91,0.72,2,1.5,7.4,29.581934,1
9.72,47.5,75,188,9.6,6.91,0.72,2,1.5,7.4,24.029453,1
10.36,43.95,85,155.14,9.6,6.91,0.72,2,1,7.5,11.311963,2
