infP,infC,infAc,infpro,infS,MLSS,MLVSS,VSS/TSS,volumn,ana-time,pH,T,salinity,SR
10.77,84.0,64.58,19.42,151.99,9.6,6.91,0.72,0.5,1.0,7.6,20.0,0.7,8.6
10.34,72.26,72.26,0.0,209.79,4.84,2.35,0.49,10.0,6.0,8.0,22.0,0.09,79.83
10.49,75.44,50.54,24.9,150.88,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,17.05
10.65,72.04,72.04,0.0,181.77,8.46,3.22,0.38,10.0,6.0,8.0,22.0,0.09,71.2
13.17,74.84,74.84,0.0,172.72,6.67,3.39,0.51,10.0,6.0,8.0,22.0,0.09,45.31
9.49,77.53,77.53,0.0,155.06,6.7,4.4,0.66,20.0,7.1,7.5,30.0,0.7,24.9
9.51,69.43,69.43,0.0,191.68,16.96,3.55,0.21,10.0,6.0,8.0,22.0,0.09,79.23
5.01,69.07,69.07,0.0,138.13,6.7,4.4,0.66,20.0,9.9,7.5,30.0,0.7,55.55
11.49,90.23,90.23,0.0,180.45,6.7,4.4,0.66,20.0,8.0,7.5,30.0,0.7,17.42
10.93,75.0,50.25,24.75,161.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,46.82
11.51,84.7,56.75,27.95,169.4,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,13.41
9.75,67.4,67.4,0.0,135.8,7.91,5.21,0.66,20.0,12.0,7.4,30.0,0.7,40.44
10.29,76.8,76.8,0.0,151.9,7.0,4.12,0.59,20.0,12.0,7.4,30.0,0.7,58.89
15.46,81.0,54.27,26.73,162.0,7.0,5.37,0.77,20.0,5.0,7.5,30.0,0.7,3.14
11.13,76.4,51.19,25.21,170.23,12.0,7.6,0.63,20.0,2.0,7.5,30.0,0.7,37.67
8.04,82.72,82.72,0.0,248.15,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,33.65
15.62,71.0,47.57,23.43,142.0,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,11.23
10.33,67.93,67.93,0.0,188.2,12.56,4.07,0.32,10.0,6.0,8.0,22.0,0.09,71.8
10.29,67.25,45.05,22.19,134.49,7.12,4.89,0.69,20.0,6.0,7.5,30.0,0.7,5.57
11.38,72.0,48.24,23.76,144.0,4.6,3.5,0.76,14.0,4.0,7.6,22.0,0.7,16.56
13.04,72.03,48.26,23.77,150.06,12.9,8.23,0.64,30.0,18.4,7.5,30.0,0.7,21.13
14.74,75.0,50.25,24.75,186.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,18.49
9.04,73.52,73.52,0.0,220.57,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,26.75
10.13,84.0,64.58,19.42,156.17,9.6,6.91,0.72,0.5,0.3,7.6,30.0,0.7,1.99
8.18,80.2,53.73,26.47,167.08,11.2,7.64,0.68,30.0,15.6,7.5,30.0,0.7,62.27
9.37,72.79,72.79,0.0,180.93,5.29,2.32,0.44,10.0,6.0,8.0,22.0,0.09,56.23
11.14,75.0,47.32,27.68,164.85,9.6,6.91,0.72,20.0,0.5,7.6,30.0,0.7,13.18
10.68,74.54,74.54,0.0,96.23,7.52,4.57,0.61,20.0,8.0,7.4,30.0,0.7,62.27
10.58,75.0,50.25,24.75,190.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,14.6
9.99,74.7,74.7,0.0,214.19,6.8,3.0,0.44,20.0,7.5,7.6,22.0,0.09,90.97
11.96,76.8,76.8,0.0,151.9,6.91,4.18,0.61,20.0,12.0,7.4,30.0,0.7,26.0
10.88,75.48,75.48,0.0,183.6,5.12,2.7,0.53,10.0,6.0,8.0,22.0,0.09,49.34
10.22,75.0,50.25,24.75,183.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,29.79
13.44,75.0,50.25,24.75,150.0,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,15.19
13.33,75.3,50.45,24.85,150.6,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,8.34
6.54,52.6,52.6,0.0,117.24,3.1,2.4,0.77,4.0,5.0,7.4,20.0,0.05,18.62
10.16,73.9,73.9,0.0,200.59,8.2,3.5,0.43,1.0,5.0,7.1,22.0,0.09,101.44
6.25,75.2,50.38,24.82,156.67,11.9,8.23,0.69,30.0,14.3,7.5,30.0,0.7,64.64
10.5,70.97,70.97,0.0,189.76,4.94,2.34,0.47,10.0,6.0,8.0,22.0,0.09,46.54
9.5,84.72,84.72,0.0,169.44,6.7,4.4,0.66,20.0,8.2,7.5,30.0,0.7,43.65
