infP,infN,infC,infS,MLSS,MLVSS,VSS/TSS,ana-time,ano-time,pH,SR,P removal
13.73,45,75.29,150.57,4.6,3.5,0.76,4,6,7.6,5.336495,52.8
10.61,22.8,76.8,151.9,7.15,4.15,0.58,12,24,7.4,41.198708,100
10.06,31.79,71.61,205.06,5.11,2.51,0.49,6,2,8,62.51942,77
11.6,40,63.71,172.18,9.75,3.91,0.4,3,2.5,7.6,74.55695,59.3
10.15,42.53,92.5,277.49,7.7,4.6,0.6,6,3,7.5,29.422663,100
11.08,45,75,159.57,6.91,4.09,0.59,8,12,7.5,10.577196,84.7
10.52,55.25,85,166.29,9.6,6.91,0.72,2,1,7.6,12.926985,100
10.14,49.77,67.19,186.87,15.78,3.77,0.24,6,2,8,92.7116,86.3
9.51,38.9,77.67,233,7.7,4.6,0.6,6,3,7.5,35.71748,97.1
9.23,50.76,74.28,178.45,12.93,3.64,0.28,6,2,8,83.66581,84.3
6.42,50,85,163.23,9.6,6.91,0.72,2,1,7.6,11.709823,100
9.41,72.13,52.57,134.63,4.3,3.3,0.77,6,4,7.4,24.084515,0
11.65,11.08,72.26,195.64,4.9,2.39,0.49,6,2,8,54.112534,53.5
11.36,22.8,76.8,151.9,7,4,0.57,12,24,7.4,32.095177,62.2
11.13,60.73,76.4,170.23,12,7.6,0.63,8,12,7.5,85.9253,0
9.04,18.7,67.4,135.8,8.67,5.94,0.69,12,24,7.4,18.530403,89.4
10.05,41.09,67.19,178.9,16.44,3.53,0.21,6,2,8,70.50299,88.7
9,22.8,76.8,151.9,7.36,4.61,0.63,12,24,7.4,54.20418,100
9.51,30.05,73.91,184.82,6.58,2.34,0.36,6,2,8,68.0163,69.1
11.08,45,76.47,154.52,6.7,4,0.6,8,8,7.5,32.241516,82.6
10.93,47.5,75,161,9.6,6.91,0.72,2,1.5,7.4,47.124153,78
6.25,50,75.2,156.67,11.9,8.23,0.69,14.3,25.6,7.5,64.59899,52.5
8.96,38.28,87.32,261.95,7.7,4.6,0.6,6,3,7.5,33.662136,100
14.22,45,85.5,190,4.8,3.62,0.75,5,6,7.5,3.3551502,13.7
9.96,22.8,76.8,151.9,7.3,4.33,0.59,12,24,7.4,57.618637,24.1
10.1,39.11,75.4,180.23,10.64,3.52,0.33,6,2,8,75.967606,70.9
11.54,30.55,70.97,205.58,4.77,2.39,0.5,6,2,8,58.24326,64.9
9.74,20.75,70.32,210.27,4.77,2.17,0.45,6,2,8,86.10905,71.1
11.05,19.64,73.55,185.92,5.57,3.1,0.56,6,2,8,48.101315,59.9
10.28,31.54,70.55,207.69,7.44,2.84,0.38,6,2,8,99.23778,69.6
9.23,47.5,75,150,9.6,6.91,0.72,2,1.5,7.4,13.682599,87.1
9.96,29.43,70.55,187.35,9.83,3.54,0.36,6,2,8,80.013695,64.9
12.5,47.14,81.53,163.07,6.7,4.4,0.66,7.9,9.6,7.5,19.225674,100
8.23,38.47,74.9,224.7,7.7,4.6,0.6,6,3,7.5,27.016079,100
9.04,37.15,73.52,220.57,7.7,4.6,0.6,6,3,7.5,27.004313,100
10.55,39.98,72.79,177.49,18.38,4.05,0.22,6,2,8,73.775185,90.4
8.96,51.88,67.93,169.74,12.02,3.49,0.29,6,2,8,78.12124,81.8
11.79,45,75.2,150.4,4.6,3.5,0.76,4,6,7.6,4.055898,43.4
8.63,40.49,86.85,260.56,7.7,4.6,0.6,6,3,7.5,34.331818,94.9
9.41,72.13,52.57,134.63,4.3,3.3,0.77,6,2,7.4,24.084515,63.5
10.88,10.21,75.48,183.6,5.12,2.7,0.53,6,2,8,49.44488,45.7
10.64,22.8,76.8,151.9,7.12,4.15,0.58,12,24,7.4,20.916338,73.4
6.21,35.26,82.95,248.85,7.7,4.6,0.6,6,3,7.5,40.1221,94.9
10.28,39.11,70.55,196.37,17.22,3.72,0.22,6,2,8,103.37773,88.3
